Iteration	L1	L1 %	L2	L2 %	KL Divergence
378	892.394	55.316	173.602	47.695	0.43
379	896.305	54.99	174.895	48.074	0.415
380	902.437	56.087	175.009	48.567	0.441
381	909.355	55.363	178.131	48.236	0.424
382	912.494	56.001	176.411	48.608	0.429
383	900.576	55.384	174.574	48.5	0.417
384	898.465	54.62	175.918	48.133	0.413
385	895.758	55.621	174.593	48.702	0.424
386	895.024	54.725	173.746	47.665	0.409
387	902.919	55.622	177.952	48.264	0.421
388	896.59	55.637	171.605	48.27	0.427
389	911.122	54.425	177.402	48.045	0.402
390	908.651	55.831	175.994	48.012	0.438
391	903.3	55.941	175.009	48.16	0.438
392	904.684	55.626	175.396	48.34	0.43
393	907.284	55.535	178.008	48.491	0.42
394	905.493	56.441	174.903	48.546	0.431
395	907.068	54.96	179.068	48.0	0.419
396	903.105	55.062	176.136	47.708	0.431
397	907.162	56.371	175.891	48.774	0.442
398	895.97	55.06	176.734	47.777	0.406
399	913.991	55.442	176.258	47.968	0.41
400	897.232	55.944	175.572	48.284	0.437
401	908.939	54.883	175.632	47.801	0.401
402	903.826	55.631	176.664	48.445	0.429
403	907.221	55.301	176.831	48.39	0.42
404	894.716	54.646	173.453	47.628	0.41
405	899.996	55.764	174.925	48.131	0.423
406	915.348	56.309	178.896	48.614	0.444
407	902.01	55.189	175.413	48.006	0.412
408	893.001	55.483	175.389	48.104	0.42
409	902.997	54.531	174.247	47.733	0.407
410	902.589	55.586	174.842	48.158	0.432
411	901.636	55.827	176.239	48.221	0.432
412	901.866	55.368	174.251	47.667	0.414
413	898.298	54.593	174.097	47.938	0.409
414	899.125	55.084	173.219	47.755	0.417
415	896.709	54.618	172.763	47.753	0.409
416	904.771	56.676	174.472	48.21	0.449
417	912.649	55.279	176.592	47.958	0.421
418	905.065	56.043	177.755	48.632	0.431
419	900.422	55.598	175.691	48.036	0.44
420	897.56	54.931	175.651	48.137	0.425
421	910.441	55.843	175.552	48.074	0.431
422	910.833	55.698	178.516	48.36	0.422
423	899.753	55.024	174.982	47.879	0.406
424	891.102	54.981	172.548	47.548	0.42
425	900.764	54.97	174.427	47.907	0.409
426	897.686	54.783	175.464	47.481	0.412
427	906.611	55.398	177.395	48.304	0.423
428	905.535	55.121	175.098	47.866	0.425
429	893.785	54.836	176.59	47.714	0.413
430	894.773	54.997	172.702	47.771	0.429
431	908.73	55.209	177.872	48.604	0.42
432	899.547	55.888	176.186	48.596	0.43
