Iteration	L1	L1 %	L2	L2 %	KL Divergence
418	11.302	79.466	3.391	50.465	0.73
419	11.011	73.915	3.349	49.168	0.687
420	11.789	80.194	3.427	52.098	0.733
421	10.857	81.311	3.126	52.001	0.762
422	11.727	77.261	3.608	47.398	0.667
423	10.912	72.039	3.101	45.769	0.653
424	10.987	79.148	3.262	50.428	0.732
425	9.745	77.445	2.935	49.046	0.722
426	10.408	76.811	3.144	51.819	0.7
427	11.596	79.676	3.383	52.435	0.727
428	10.172	73.774	3.023	48.514	0.68
429	10.363	80.749	3.235	51.192	0.765
430	11.402	76.717	3.462	52.532	0.706
431	10.345	72.338	2.969	47.466	0.673
432	9.547	72.275	2.915	46.757	0.659
433	10.692	76.167	3.238	50.159	0.706
434	10.176	74.552	3.003	48.801	0.674
435	10.156	75.886	3.187	48.225	0.702
436	10.227	74.672	3.193	48.595	0.673
437	9.967	80.116	3.162	51.708	0.729
438	10.786	79.188	3.276	50.907	0.696
439	10.064	76.101	3.036	48.884	0.716
440	11.735	79.385	3.626	51.071	0.697
441	11.152	74.823	3.272	48.733	0.654
442	10.694	82.591	3.298	51.51	0.797
443	11.3	81.004	3.249	52.826	0.757
444	9.636	75.537	3.008	49.628	0.688
445	10.311	80.027	3.117	50.984	0.768
446	10.719	79.277	3.244	50.602	0.768
447	12.013	84.363	3.436	52.982	0.737
448	10.925	74.04	3.199	47.09	0.64
449	10.454	74.827	3.072	49.031	0.663
450	10.672	79.649	3.245	52.164	0.73
451	10.448	72.45	3.135	46.495	0.662
452	10.171	74.277	3.12	50.246	0.656
453	10.925	78.345	3.438	52.521	0.734
454	10.56	74.696	3.207	48.327	0.683
455	11.679	77.668	3.502	50.991	0.683
456	11.003	72.315	3.142	47.806	0.631
457	11.001	78.336	3.213	50.108	0.7
458	10.274	79.313	3.263	51.705	0.743
459	11.41	74.832	3.474	49.563	0.67
460	10.252	71.294	2.975	46.122	0.664
461	11.523	74.942	3.436	49.767	0.658
462	10.844	76.48	3.331	50.343	0.722
463	11.291	75.486	3.256	48.935	0.668
464	11.638	78.944	3.504	51.558	0.717
465	9.835	76.86	3.032	50.748	0.714
466	10.798	76.594	3.134	49.977	0.73
467	10.137	72.26	3.177	47.054	0.658
468	11.908	84.06	3.639	54.561	0.755
469	11.968	74.847	3.544	49.409	0.642
470	10.588	81.828	3.119	52.348	0.783
471	12.141	84.614	3.851	55.186	0.754
472	11.937	77.639	3.577	50.251	0.688
473	11.415	74.928	3.386	47.773	0.694
474	10.587	80.257	3.144	53.311	0.739
475	11.703	78.944	3.397	50.984	0.71
476	11.536	81.266	3.55	51.576	0.744
477	10.986	76.257	3.272	49.076	0.713
478	10.55	72.905	3.101	48.341	0.673
479	11.527	78.684	3.394	52.106	0.717
480	11.029	74.699	3.203	48.623	0.671
481	10.76	76.901	3.104	49.496	0.711
482	10.692	77.362	3.241	50.281	0.74
483	10.862	72.369	3.225	50.143	0.65
484	11.426	79.552	3.419	52.003	0.708
485	10.133	74.358	3.037	48.034	0.707
486	11.338	78.285	3.452	50.761	0.726
487	10.389	77.295	3.068	50.879	0.687
488	10.623	76.725	3.164	49.731	0.709
489	12.029	79.429	3.504	51.517	0.687
490	11.155	77.603	3.211	50.188	0.707
491	10.388	79.387	3.048	48.843	0.78
492	11.35	82.006	3.369	51.855	0.736
493	11.539	84.277	3.403	53.912	0.739
494	11.599	82.831	3.366	53.672	0.79
495	11.24	77.489	3.369	50.997	0.732
496	10.78	74.897	3.229	50.042	0.697
497	10.395	75.345	3.042	49.972	0.691
498	10.407	79.246	3.032	50.318	0.758
499	9.686	73.882	3.046	47.754	0.661
500	12.013	78.35	3.402	50.678	0.717
501	10.427	73.497	3.308	48.832	0.668
502	11.359	78.331	3.621	51.581	0.657
503	10.863	77.964	3.388	51.305	0.712
504	10.216	75.862	3.206	49.624	0.686
505	11.108	77.171	3.403	52.277	0.714
506	11.818	77.142	3.649	48.244	0.706
507	10.138	76.059	3.17	49.956	0.693
508	10.11	77.312	3.154	49.968	0.727
509	11.216	78.445	3.254	50.921	0.692
510	10.221	76.954	3.092	49.34	0.7
511	11.115	76.74	3.295	49.284	0.733
512	9.844	74.633	2.878	48.974	0.694
513	10.244	77.4	3.091	50.751	0.691
514	9.949	74.078	2.985	48.676	0.675
515	12.027	84.188	3.798	53.875	0.759
516	9.232	75.606	2.772	48.5	0.724
517	10.565	82.126	3.161	53.081	0.81
518	10.503	72.256	3.113	47.02	0.672
519	10.728	75.127	3.063	49.335	0.694
520	12.511	81.19	3.842	52.856	0.723
521	10.157	82.077	3.235	53.873	0.759
522	10.414	78.279	3.03	49.542	0.731
523	10.028	73.936	3.135	48.991	0.704
524	11.481	81.784	3.378	53.705	0.759
525	11.01	82.859	3.153	52.329	0.788
526	12.339	82.239	3.916	53.606	0.718
527	10.071	74.877	3.091	50.344	0.698
528	9.994	77.699	3.021	51.428	0.714
529	10.624	79.412	3.084	50.903	0.739
530	11.439	76.024	3.496	51.284	0.668
531	12.493	86.705	3.745	55.225	0.801
532	11.526	80.365	3.192	51.499	0.731
533	10.002	77.532	3.143	50.301	0.738
534	10.086	79.003	3.172	50.33	0.772
535	10.107	80.224	3.084	50.843	0.741
536	10.884	81.139	3.371	50.677	0.775
537	10.299	75.24	3.236	48.518	0.681
538	11.107	77.446	3.302	52.65	0.714
539	12.281	80.226	3.737	50.425	0.728
540	10.998	77.529	3.243	50.115	0.704
541	10.648	76.4	3.245	50.334	0.728
542	11.096	80.794	3.347	51.9	0.749
543	9.314	78.613	2.879	50.782	0.707
544	11.112	80.417	3.422	51.897	0.728
545	10.708	78.503	3.199	51.405	0.74
546	11.713	83.021	3.59	52.422	0.751
547	11.305	77.612	3.401	51.192	0.657
548	10.745	77.694	3.413	50.42	0.687
549	11.106	76.059	3.42	50.198	0.661
