MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:T:5	0.14663169067338663	0.10992015906327714	0.2642493100459067	0.17797840103536838	0.2422770552394902	0.11747124364953399	0.1027721261473655	0.25708333531625555	0.3138811459956961	0.17849035830853258	0.09484636939593963	0.04938856782561274
1:Ins:C:0	0.0024971824394376296	0.0023416541295331853	0.0031702840469098816	0.0029738085455575406	0.004042306312289059	0.011502433298277876	0.0022987635115453067	0.0059270774481364995	0.007049512105613028	0.0035698351500406617	0.007157942608574274	0.002894558162643051
1:Ins:C:1	0.0011034306552287739	0.0012180612192057893	0.001302959397095848	0.002339937836928712	0.0026157002063622544	0.005619732498093164	0.002198541028301188	0.0019422055658617798	0.002391583111343375	0.0017542417764519988	0.0033381410509538603	0.0020771274922663932
1:Ins:C:2	0.0012513031749330455	0.0012362251479923131	0.0012710211721062576	0.0014632298843867124	0.0016483561201474871	0.002319438301898197	0.0017284839540265575	0.0022565910936015957	0.002640403036859785	0.0018200384251660495	0.0034646188433121432	0.0019349479255791281
1:Ins:C:3	0.000812742798766928	0.0012331414212797375	0.0009706774029685823	0.0008724314079558329	0.0007311940720833246	0.0010131711294470527	0.0011765776242277633	0.001912782950972979	0.00210722458580459	0.0010872600106426112	0.0027306739981213845	0.001995339800664325
1:Ins:C:4	0.0010906853545726593	0.0009602059698628556	0.0012385448945061576	0.0012714322351880466	0.001625653995708209	0.004695858542347704	0.0013621955559372126	0.0025912511990943605	0.0033761059641230096	0.0014220461133250533	0.0033153089412455714	0.0013153307517775681
1:Ins:C:5	0.005407705995403099	0.006768299902145676	0.007234764006113886	0.00786673814296667	0.009543062377465118	0.01675057246313833	0.0113880359556242	0.012520999526905519	0.022794411063277842	0.00960105837654114	0.017307480603729386	0.010580007834297519
1:Ins:T:0	0.006173694864041355	0.006431773345528724	0.00595247554034822	0.006415786057992785	0.005876412247505747	0.017166921474525927	0.007049189583219304	0.00750085896754865	0.008673582962796996	0.006564156911602797	0.01305636924980317	0.009004587093959503
1:Ins:T:1	0.005478134762914847	0.006031875556842207	0.006163812621569402	0.00857962587059481	0.00877738291897539	0.02574673317542402	0.009722517204115442	0.006330287403798987	0.009941907761999505	0.0070566504930726975	0.015969337202643073	0.01089188193677517
1:Ins:T:2	0.003360758818799258	0.0037684423206665535	0.0050835581189753705	0.004875048088127997	0.005260389667833842	0.00857901890633461	0.004331985601018804	0.006657025283153846	0.007662083157109859	0.005187768128898724	0.009414968961113544	0.005741444008391497
