MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L
CC>TT	0.9326776674469656	0.004143881861347869	0.054227652175513695	0.021855283294877927	0.03048490684331436	0.2919048551656916	0.008342910372566542	0.021334291505488504	0.02214675389613799	0.0046743481547275745	0.03468079486842291	0.02317186328386025
CG>AT	2.2265308977939698e-07	0.004216522859125966	3.0757659439817763e-07	0.006128145138104411	0.0027414377325558977	0.003871835304976373	0.0012009135895460013	0.002506672661558825	0.0027098277621510833	0.0004023820218385205	0.0017093605929765626	0.002655235707184964
CG>GC	1.3206740345211467e-06	4.435260064776992e-07	5.007378944003949e-07	3.5429105650709272e-06	5.586185164913059e-06	4.075016507152672e-06	7.417918811707051e-06	6.500691871386605e-06	9.684297227340526e-06	1.2031894693827802e-05	8.981277235349274e-06	8.67587913548832e-06
CG>GT	7.709846100964174e-07	0.004114211986530679	4.020867841663152e-07	3.5359598355491787e-06	5.236750730699607e-06	3.8827726747157235e-06	7.529430242399833e-06	6.4185472955415604e-06	9.311346297884975e-06	1.2298396229722193e-05	8.303672897016971e-06	8.275769842026427e-06
CG>TA	1.3206740345211467e-06	4.435260064776992e-07	5.007378944003949e-07	3.5429105650709272e-06	5.586185164913059e-06	4.075016507152672e-06	7.417918811707051e-06	6.500691871386605e-06	9.684297227340526e-06	1.2031894693827802e-05	8.981277235349274e-06	8.67587913548832e-06
CG>TC	0.0008139626924239931	0.0042961215048812505	7.0584684374438554e-06	0.0034855219051457497	0.0029718519326234604	0.005684645203250088	0.0019393209826052814	0.004382073877777474	0.0017557307871997959	0.0013829766420872277	0.006835386716353092	0.0074432211929695066
CG>TT	6.942471307702194e-07	4.3334125166303624e-07	4.526584834152425e-07	0.004311829455500253	2.073330357578623e-05	0.0019791183041660888	6.8099007944489265e-06	6.683517325061665e-05	9.31494627306907e-06	2.7306433881323152e-05	8.675057223058198e-06	8.165255216169506e-06
CT>AA	4.537920262079853e-05	0.018356794800168573	0.1291145302885904	0.004070451941314751	0.005827966268885544	0.0020914928570352894	0.0006315215213193642	0.005659627225608587	0.003796897947884574	0.005446549170800657	0.00027215911861928823	0.0145145644502164
CT>AC	0.0002414679887933557	0.5926566838713412	0.0969218978353126	0.0018393525651167373	0.0022751355314049536	0.0031121643637354785	0.0003775195460200761	0.0012670788803946923	0.0010322711162579021	0.00041548556891014366	0.0008911260692208337	0.004112144336007487
CT>AG	0.00021155873844598034	2.923545604296299e-07	0.032869612745361716	0.004406255117195962	0.005846073441324256	0.0024937462056814907	0.001754565803167531	0.0034495257905638654	0.0027868021437716397	0.0008017720401971935	0.000965330570823623	0.010928988889528654
