MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
4:Del:R:2	1.4888977197306419e-06	0.00018640013603032216	2.450460677104205e-06	0.00021636222668045425	0.00022667705546258605
4:Del:R:3	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
4:Del:R:4	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
4:Del:R:5	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
5:Del:R:0	0.00014161166312347498	0.01786140879026303	0.0013408902170529465	0.028456401439237493	0.04283290191646508
5:Del:R:1	3.9415852735334904e-08	2.6678430114908277e-05	3.805093546563661e-07	9.27661318382037e-05	0.00019947475625470417
5:Del:R:2	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
5:Del:R:3	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
5:Del:R:4	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
5:Del:R:5	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
2:Ins:R:0	0.0017517794754871958	0.005842747071047623	0.001200476734696521	0.011585833183805086	0.01751895396818049
2:Ins:R:1	6.692893586234641e-06	0.003212766984021415	0.000541622540638206	0.006140870137750399	0.00890250124285628
2:Ins:R:2	0.0002230560021770483	0.0022020574739282485	0.000512012759816278	0.0023357053503232934	0.003008436746119805
2:Ins:R:3	2.174889002415005e-05	0.0006797670306161641	5.866008658479862e-05	0.0011635399060732038	0.0017307643058435023
2:Ins:R:4	0.00022964512582454905	0.0009595101244876784	0.0006405850342720208	0.001542247686208424	0.0019550073488313053
2:Ins:R:5	0.020167579724411095	0.037227118963084	0.003930323574044702	0.04868426740207918	0.06549642240009598
3:Ins:R:0	0.00019461457692088603	0.0027075490178964947	6.464083305800943e-05	0.002848992976063775	0.0033872632860844215
3:Ins:R:1	3.0403522463281335e-05	0.003488377986476386	0.0004577425002262005	0.004222665623251551	0.005476528084620696
3:Ins:R:2	9.494191221229957e-06	0.0004161138806455787	7.014441574248307e-05	0.0005452018758487134	0.0007816394620370374
3:Ins:R:3	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
3:Ins:R:4	6.820172180090987e-07	6.495252925956524e-05	1.809563037652677e-05	7.214302066727471e-05	7.377961678965226e-05
3:Ins:R:5	6.424064635250882e-05	0.00056596781354134	0.00018892623528529812	0.0008132011096314912	0.001060287163907129
4:Ins:R:0	1.1165028332599303e-05	0.0017643334796233019	9.737597051692249e-05	0.0030899224590695312	0.005201321612781736
4:Ins:R:1	1.453908651305494e-05	0.0044308170305856365	3.928761656061519e-05	0.0060004230950253	0.008228580354667149
4:Ins:R:2	5.433248228907096e-07	0.00019698119100065013	2.6065180669613793e-05	0.0003008289924142898	0.0005012344583275854
4:Ins:R:3	6.665808371235653e-08	3.486918326284961e-08	2.2034513602752828e-07	6.058994520027354e-08	9.13413200835479e-08
4:Ins:R:4	2.6704966805789673e-06	0.00013490561518876709	3.093267997726487e-05	0.00035593665940390664	0.0006007552458418477
4:Ins:R:5	2.4112487684031056e-07	0.0004438033064699184	2.1370241697259283e-05	0.000795913027082865	0.0011140740392878178
5:Ins:R:0	1.4334786641548945e-05	0.002666893415877022	0.0004058171155810083	0.005264196076639082	0.009060795209977266
5:Ins:R:1	2.9529598743442563e-05	0.004148891827694646	0.0003908479717951714	0.009149947021080724	0.0167001352549587
5:Ins:R:2	2.435780021524042e-07	7.845611241462247e-05	0.00014417944137472277	0.00011338800042158549	0.000160324627959674
5:Ins:R:3	1.998509718015631e-06	6.497403431898841e-05	4.89177614247311e-07	0.00014144281256039064	0.0001709695487144428
5:Ins:R:4	3.041138932856788e-08	3.0789654642986215e-05	1.1271057742256703e-06	0.00021271499782313474	0.00034026526492540244
5:Ins:R:5	5.708066670335468e-07	8.538441043128447e-05	2.5634721287077405e-07	0.00012086366706166842	0.00013627430637368115
2:Del:M:1	0.0005272543039054246	0.005304377373319082	0.0003515157162461259	0.01094632619718417	0.01708040749695283
3:Del:M:1	0.008070463157464982	0.00872672393773597	0.017813585290636723	0.008359044019005939	0.009535283205643811
3:Del:M:2	0.000901356464751666	0.003592049715737331	0.0038430739072014986	0.003685005767791009	0.0038878790509270294
4:Del:M:1	0.0004953765820573947	0.0055704415357792905	0.0009239245811134857	0.0052597488839564825	0.006030320087915983
4:Del:M:2	0.0016871760852209018	0.002470998896948907	0.0015422123990066691	0.0030589827007341166	0.004689816073057305
4:Del:M:3	3.813718999681761e-05	0.0007287195760173888	0.0002868018254164719	0.0009253640053109123	0.0011443026096608373
5:Del:M:1	3.633518272928543e-05	0.010998950720214897	0.0012435008291492875	0.018332277773400213	0.025774192324045743
5:Del:M:2	2.736152423429499e-05	0.00503797372537645	2.2134175794190303e-05	0.0069972504103187495	0.010096779740359156
5:Del:M:3	6.243379936371825e-05	0.0018995061156081385	0.00014325321971994138	0.0024719208802832632	0.0030634908544602112
5:Del:M:4	1.1887178604956402e-06	0.0004670414329389459	1.1178851614995563e-05	0.0006146975895630022	0.0008507176303315066
5:Del:M:5	8.32753950400026e-07	0.0004475892755865124	0.0001162007676631727	0.0005046804394151334	0.0005988070532735965
