MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M	DBS78N	DBS78O
TA>GG	1.10E-07	1.68E-07	1.47E-07	1.95E-07	2.19E-07	7.77E-09	1.38E-07	2.17E-09	2.79E-08	1.64E-07	1.02E-07	1.52E-07	1.05E-07	1.55E-07	1.32E-07
TA>GT	2.91E-05	7.98E-05	2.09E-04	2.17E-04	2.80E-04	6.12E-09	1.19E-04	2.59E-09	5.48E-05	1.52E-04	7.31E-05	1.11E-04	4.95E-05	2.41E-04	1.94E-04
TC>AA	5.00E-03	1.34E-03	1.34E-03	1.19E-03	1.07E-03	7.56E-04	8.07E-04	2.89E-04	1.63E-05	9.99E-04	1.06E-03	1.25E-03	8.01E-04	1.35E-03	1.78E-03
TC>AG	1.98E-03	1.35E-03	1.54E-03	3.23E-03	3.75E-03	3.40E-04	1.47E-03	4.85E-09	1.61E-05	2.08E-03	1.25E-03	2.63E-03	1.62E-03	7.56E-04	1.33E-03
TC>AT	1.32E-03	8.50E-04	1.04E-03	1.38E-03	9.17E-04	4.73E-04	1.22E-03	4.06E-09	6.55E-05	9.17E-04	1.98E-03	6.88E-03	3.16E-03	1.25E-03	1.16E-03
TC>CA	6.44E-04	1.07E-03	1.51E-03	1.43E-03	1.24E-03	1.48E-04	9.20E-04	5.29E-09	2.46E-05	1.28E-03	1.73E-03	1.50E-03	8.02E-04	1.35E-03	1.50E-03
TC>CG	2.48E-04	6.69E-04	3.75E-04	3.83E-04	4.64E-04	7.19E-09	1.63E-04	1.46E-04	2.62E-08	4.19E-04	1.41E-04	3.63E-04	3.28E-04	3.43E-04	4.90E-04
TC>CT	1.84E-03	1.57E-03	1.58E-03	3.47E-03	3.09E-03	2.17E-04	1.19E-03	1.36E-04	6.80E-05	1.78E-03	1.08E-03	1.64E-03	1.05E-03	1.57E-03	1.04E-03
TC>GA	2.92E-04	7.25E-04	8.93E-04	9.14E-04	7.45E-04	2.00E-04	3.07E-04	1.45E-04	2.07E-05	9.62E-04	8.38E-04	7.98E-04	7.38E-04	1.11E-03	6.09E-04
TC>GG	1.33E-04	6.15E-04	2.81E-04	3.67E-04	4.28E-04	7.18E-09	7.13E-04	4.85E-09	2.58E-05	3.11E-04	2.83E-04	2.93E-04	4.56E-04	3.20E-04	1.76E-04
TC>GT	1.25E-03	8.96E-04	1.08E-03	1.17E-03	1.01E-03	1.47E-04	4.81E-04	1.54E-04	1.31E-04	1.25E-03	1.27E-03	1.32E-03	1.10E-03	1.30E-03	7.54E-04
TG>AA	4.58E-04	1.42E-04	3.59E-04	3.44E-04	6.87E-04	3.38E-04	2.19E-04	1.37E-04	6.29E-05	4.11E-04	2.61E-04	5.07E-04	1.31E-04	4.48E-04	4.15E-04
TG>AC	8.30E-05	3.12E-04	3.92E-04	2.61E-04	2.20E-04	6.22E-09	2.18E-04	4.67E-09	1.09E-04	4.98E-04	6.80E-04	4.15E-04	4.86E-04	4.76E-04	2.50E-04
TG>AT	1.05E-03	1.19E-03	1.76E-03	1.16E-03	1.50E-03	2.22E-04	8.64E-04	3.95E-04	1.76E-04	1.38E-03	1.64E-03	1.30E-03	1.20E-03	2.33E-03	1.26E-03
TG>CA	1.54E-04	4.48E-04	5.62E-04	4.39E-04	7.11E-04	6.23E-09	3.21E-04	4.66E-09	8.36E-05	3.95E-04	3.23E-04	4.21E-04	6.81E-04	4.64E-04	4.20E-04
TG>CC	2.41E-04	2.72E-04	3.35E-04	4.90E-04	1.08E-03	6.02E-09	2.81E-04	1.94E-04	2.94E-05	5.32E-04	2.32E-04	4.41E-04	1.66E-04	2.60E-04	1.87E-04
TG>CT	2.86E-03	2.97E-03	2.39E-03	1.50E-03	1.03E-03	5.10E-04	1.08E-03	2.06E-04	6.00E-05	2.24E-03	2.84E-03	1.58E-03	9.64E-04	4.35E-03	2.98E-03
TG>GA	2.60E-04	3.37E-04	4.71E-04	4.84E-04	2.54E-04	5.77E-09	1.21E-04	3.38E-09	2.98E-05	3.71E-04	2.99E-04	4.62E-04	2.31E-04	4.68E-04	4.10E-04
TG>GC	1.10E-07	1.70E-07	5.77E-05	1.31E-05	2.21E-05	6.48E-09	1.38E-07	2.28E-09	2.86E-08	1.22E-04	2.92E-05	2.23E-05	1.03E-07	2.24E-04	8.25E-06
TG>GT	6.32E-04	6.26E-03	1.14E-03	8.34E-04	8.42E-04	6.28E-04	2.16E-03	7.01E-04	5.32E-06	6.46E-04	1.42E-03	9.87E-04	1.15E-03	1.09E-03	2.10E-03
TT>AA	6.64E-04	2.09E-03	1.03E-03	1.16E-03	1.46E-03	2.21E-04	1.06E-03	1.40E-04	1.81E-04	1.50E-03	8.94E-04	1.60E-03	1.84E-03	9.53E-04	9.38E-04
TT>AC	2.19E-04	5.82E-04	7.98E-04	1.15E-03	7.44E-04	4.57E-05	7.66E-04	4.53E-09	3.37E-05	7.01E-04	5.52E-04	1.13E-03	3.36E-04	4.28E-04	5.33E-04
TT>AG	2.31E-04	4.29E-04	4.17E-04	6.25E-04	1.24E-03	1.53E-04	2.30E-04	3.42E-09	1.68E-08	5.12E-04	3.40E-04	3.97E-04	1.06E-04	3.06E-04	3.72E-04
TT>CA	1.07E-03	8.40E-04	7.62E-04	8.80E-04	1.71E-03	3.73E-05	6.63E-04	5.23E-09	6.04E-05	8.34E-04	5.48E-04	9.55E-04	2.60E-04	5.96E-04	1.08E-03
TT>CC	3.33E-04	7.59E-04	8.14E-04	1.22E-03	7.67E-04	9.22E-05	6.78E-04	5.31E-09	7.49E-05	7.76E-04	5.10E-04	6.08E-04	4.19E-04	5.78E-04	8.12E-04
TT>CG	9.66E-06	5.60E-05	1.39E-04	1.18E-04	1.68E-04	6.05E-09	6.23E-05	2.46E-09	2.52E-05	1.94E-04	6.54E-05	6.74E-05	1.71E-05	3.72E-04	1.26E-04
TT>GA	5.60E-04	5.40E-04	8.71E-04	9.44E-04	1.00E-03	6.17E-09	1.11E-03	1.46E-04	1.71E-05	7.43E-04	2.51E-04	7.27E-04	3.98E-04	5.00E-04	5.52E-04
TT>GC	1.09E-07	1.68E-07	6.68E-05	1.83E-05	4.39E-05	7.01E-09	1.41E-07	2.30E-09	2.68E-08	1.18E-04	1.17E-05	3.38E-05	1.01E-07	2.25E-04	1.65E-05
TT>GG	1.88E-04	4.86E-04	2.71E-04	4.89E-04	4.47E-04	2.04E-04	2.15E-04	3.20E-09	2.10E-08	3.55E-04	1.15E-04	8.72E-04	4.64E-04	2.79E-04	3.72E-04
