Iteration	L1	L1 %	L2	L2 %	KL Divergence
228	158.903	15.389	55.621	10.073	0.051
229	152.035	14.915	52.899	9.897	0.052
230	154.958	15.212	53.873	10.164	0.053
231	160.654	15.657	56.086	10.424	0.054
232	160.166	15.568	57.212	10.453	0.053
233	161.584	15.421	57.395	10.233	0.051
234	159.415	15.438	56.041	10.253	0.053
235	155.304	15.048	54.54	10.026	0.051
236	161.984	15.648	56.001	10.244	0.054
237	162.149	15.565	58.064	10.307	0.053
238	153.568	14.801	52.152	9.518	0.051
239	162.843	15.586	58.28	10.583	0.053
240	158.977	15.283	56.111	10.126	0.054
241	156.316	15.005	53.612	9.735	0.05
242	159.44	15.45	56.02	10.22	0.052
243	166.547	16.121	58.755	10.867	0.055
244	157.445	15.313	56.494	10.373	0.051
245	155.643	15.004	53.807	9.913	0.052
246	153.384	14.856	53.152	9.781	0.052
247	157.249	15.254	54.671	10.031	0.052
248	158.123	15.306	55.748	10.152	0.054
249	153.381	14.899	53.67	9.961	0.05
250	161.712	15.571	56.38	10.304	0.054
251	156.611	15.139	54.606	9.961	0.051
252	158.146	15.42	55.858	10.359	0.053
253	159.346	15.396	55.496	10.039	0.052
254	164.733	15.74	58.623	10.44	0.052
255	160.768	15.524	57.252	10.445	0.052
256	159.645	15.354	54.179	9.965	0.053
257	160.506	15.488	57.644	10.498	0.052
258	163.331	15.622	58.685	10.372	0.051
259	157.059	15.221	54.887	10.083	0.052
260	162.97	15.806	57.71	10.564	0.054
261	160.742	15.698	57.872	10.704	0.054
262	160.942	15.661	57.809	10.726	0.051
263	166.524	15.771	59.254	10.413	0.053
264	163.161	15.972	58.294	10.7	0.056
265	155.461	15.096	54.369	9.986	0.052
266	160.643	15.482	56.981	10.356	0.052
267	162.131	15.567	56.034	10.119	0.052
268	163.751	15.729	58.487	10.494	0.053
269	161.816	15.748	56.557	10.424	0.054
270	164.419	15.948	57.08	10.527	0.055
271	157.81	15.359	54.341	10.13	0.053
272	156.493	15.325	55.818	10.306	0.052
273	163.56	15.793	56.684	10.52	0.054
274	156.688	15.115	52.604	9.643	0.052
275	164.719	15.931	59.241	10.714	0.053
276	160.33	15.558	56.624	10.292	0.054
277	156.486	15.327	53.725	10.045	0.054
278	164.256	15.791	59.23	10.574	0.053
279	162.149	15.752	56.547	10.417	0.053
280	158.946	15.259	55.011	10.028	0.054
281	157.95	15.398	55.029	10.175	0.054
282	160.458	15.534	55.603	10.309	0.053
283	155.173	14.941	54.569	9.764	0.051
284	159.852	15.614	55.388	10.315	0.054
285	157.558	15.457	54.547	10.169	0.053
286	160.324	15.419	56.091	10.238	0.051
287	156.588	15.402	54.027	10.115	0.054
288	161.015	15.67	57.425	10.618	0.054
289	159.57	15.527	55.871	10.33	0.053
290	161.962	15.69	56.477	10.438	0.054
291	167.003	16.067	60.082	10.87	0.054
292	152.74	14.886	53.165	9.805	0.05
293	163.058	15.509	57.479	10.117	0.051
294	157.143	15.142	54.894	9.955	0.05
295	162.001	15.904	57.081	10.57	0.054
296	162.063	15.659	57.262	10.666	0.053
297	156.159	15.048	53.729	9.635	0.053
298	151.863	14.789	51.973	9.692	0.052
299	156.335	15.216	53.735	9.894	0.054
300	166.318	15.983	60.012	10.8	0.052
301	150.918	14.691	50.84	9.415	0.051
302	155.993	14.968	54.363	9.839	0.052
303	160.211	15.28	56.747	10.121	0.052
304	159.023	15.212	56.36	9.991	0.051
305	164.111	15.845	58.797	10.665	0.052
306	166.472	16.102	59.621	10.915	0.054
307	166.403	15.981	59.565	10.663	0.052
308	155.059	14.973	53.962	9.833	0.052
309	162.465	15.55	57.327	10.261	0.053
310	160.016	15.325	55.974	10.07	0.053
311	161.326	15.891	57.469	10.881	0.055
312	162.098	15.709	57.51	10.571	0.052
313	156.11	15.074	55.258	9.998	0.051
314	159.56	15.791	56.921	10.698	0.053
315	158.919	15.408	55.511	10.155	0.053
316	166.994	16.152	60.562	10.965	0.054
317	157.696	15.29	55.931	10.332	0.052
318	161.502	15.686	56.654	10.438	0.054
319	161.208	15.562	57.477	10.542	0.053
320	161.487	15.538	56.061	10.181	0.053
321	159.462	15.455	55.462	10.244	0.054
322	159.423	15.531	56.381	10.368	0.053
323	162.89	15.64	58.528	10.432	0.054
324	158.562	15.434	55.422	10.225	0.051
325	164.844	16.059	59.168	10.958	0.054
326	156.696	15.227	53.912	10.039	0.053
327	162.873	15.894	56.946	10.575	0.055
328	157.617	15.312	55.322	10.178	0.053
329	168.532	16.196	60.405	10.863	0.054
330	161.206	15.543	55.619	10.209	0.054
331	160.482	15.378	56.475	10.226	0.053
332	163.337	15.667	57.668	10.334	0.052
333	162.082	15.65	58.457	10.599	0.05
334	161.064	15.689	56.55	10.414	0.054
335	158.68	15.245	55.592	9.816	0.051
