MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
3:Ins:R:4	5.18E-06	8.14E-06	7.27E-06	4.38E-06	1.74E-05	2.64E-06	4.97E-06	9.13E-06	4.05E-06	7.24E-06	6.30E-06	8.50E-06	5.78E-06	4.62E-06
3:Ins:R:5	4.60E-05	7.25E-05	4.79E-05	3.09E-05	8.64E-05	6.76E-05	3.81E-05	7.33E-05	4.24E-05	4.76E-05	5.29E-05	5.43E-05	4.65E-05	3.68E-05
4:Ins:R:0	8.21E-05	1.85E-04	8.94E-05	1.04E-04	1.51E-04	2.31E-04	7.65E-05	1.94E-04	8.89E-05	9.02E-05	1.52E-04	1.32E-04	1.10E-04	9.41E-05
4:Ins:R:1	1.84E-04	3.08E-04	1.69E-04	1.88E-04	2.86E-04	3.24E-04	1.61E-04	3.20E-04	1.74E-04	2.05E-04	2.62E-04	2.37E-04	2.05E-04	2.39E-04
4:Ins:R:2	1.68E-05	3.19E-05	1.81E-05	1.70E-05	2.83E-05	3.41E-05	1.47E-05	2.33E-05	2.32E-05	1.34E-05	2.62E-05	1.94E-05	1.39E-05	2.07E-05
4:Ins:R:3	1.98E-09	3.34E-09	1.44E-09	3.05E-09	3.74E-09	3.60E-09	1.48E-09	2.50E-09	1.39E-09	1.59E-09	2.35E-09	2.14E-09	2.34E-09	1.05E-09
4:Ins:R:4	1.29E-05	4.19E-05	1.44E-05	2.88E-05	5.39E-05	3.57E-05	1.66E-05	2.92E-05	1.34E-05	1.44E-05	2.75E-05	1.87E-05	1.93E-05	8.63E-06
4:Ins:R:5	2.78E-05	5.51E-05	2.75E-05	3.09E-05	5.04E-05	7.88E-05	2.71E-05	7.53E-05	2.70E-05	3.66E-05	5.59E-05	3.31E-05	3.76E-05	3.07E-05
5:Ins:R:0	1.74E-04	2.73E-04	1.72E-04	1.70E-04	3.23E-04	3.46E-04	1.46E-04	3.72E-04	1.46E-04	1.55E-04	2.74E-04	2.30E-04	1.86E-04	1.43E-04
5:Ins:R:1	2.68E-04	5.54E-04	2.87E-04	3.16E-04	6.61E-04	5.99E-04	1.94E-04	6.34E-04	2.69E-04	2.66E-04	4.24E-04	2.99E-04	2.90E-04	1.99E-04
5:Ins:R:2	1.30E-05	2.94E-05	1.36E-05	1.98E-05	3.31E-05	2.56E-05	6.58E-06	1.70E-05	1.31E-05	1.41E-05	1.56E-05	1.47E-05	1.16E-05	8.49E-06
5:Ins:R:3	5.06E-06	1.38E-05	7.44E-06	1.08E-05	2.14E-05	1.17E-05	8.42E-06	9.38E-06	6.27E-06	7.11E-06	7.91E-06	1.22E-05	9.93E-06	6.00E-06
5:Ins:R:4	7.36E-06	1.20E-05	8.29E-06	8.54E-06	1.73E-05	2.19E-05	5.57E-06	4.37E-05	7.25E-06	8.17E-06	1.25E-05	1.46E-05	4.31E-06	1.00E-05
5:Ins:R:5	1.23E-05	1.52E-05	8.82E-06	6.38E-06	1.54E-05	1.51E-05	5.19E-06	1.32E-05	7.16E-06	6.79E-06	1.03E-05	1.09E-05	7.83E-06	5.54E-06
2:Del:M:1	3.35E-04	4.75E-04	3.26E-04	4.50E-04	6.39E-04	6.69E-04	3.09E-04	5.77E-04	2.54E-04	2.91E-04	3.92E-04	3.21E-04	4.25E-04	2.73E-04
3:Del:M:1	4.75E-04	8.05E-04	5.13E-04	7.35E-04	7.78E-04	9.80E-04	4.81E-04	5.52E-04	4.56E-04	4.87E-04	7.53E-04	5.61E-04	5.42E-04	4.00E-04
3:Del:M:2	2.58E-04	3.86E-04	2.20E-04	4.21E-04	4.69E-04	4.25E-04	2.16E-04	2.79E-04	1.88E-04	2.74E-04	3.26E-04	2.28E-04	2.70E-04	2.33E-04
4:Del:M:1	2.30E-04	3.50E-04	1.81E-04	2.02E-04	4.72E-04	2.97E-04	1.86E-04	1.94E-04	1.75E-04	1.97E-04	2.24E-04	3.17E-04	2.00E-04	1.30E-04
4:Del:M:2	2.16E-04	3.07E-04	1.53E-04	2.53E-04	4.04E-04	2.31E-04	1.38E-04	2.17E-04	1.41E-04	1.68E-04	2.07E-04	2.18E-04	1.95E-04	1.56E-04
4:Del:M:3	5.42E-05	8.10E-05	5.39E-05	5.44E-05	1.06E-04	9.69E-05	5.46E-05	9.51E-05	4.84E-05	5.84E-05	6.95E-05	4.92E-05	6.06E-05	4.23E-05
5:Del:M:1	4.20E-04	6.69E-04	4.28E-04	4.25E-04	7.79E-04	7.56E-04	3.86E-04	6.51E-04	3.81E-04	3.92E-04	5.17E-04	3.86E-04	4.39E-04	3.72E-04
5:Del:M:2	2.01E-04	3.47E-04	2.07E-04	2.42E-04	3.65E-04	3.72E-04	1.80E-04	3.13E-04	1.89E-04	1.94E-04	2.76E-04	2.29E-04	2.37E-04	1.84E-04
5:Del:M:3	1.00E-04	1.54E-04	9.66E-05	9.68E-05	1.63E-04	1.67E-04	9.43E-05	1.07E-04	7.81E-05	9.41E-05	1.31E-04	1.12E-04	9.39E-05	8.44E-05
5:Del:M:4	4.12E-05	4.63E-05	2.87E-05	3.05E-05	4.68E-05	5.57E-05	2.94E-05	3.88E-05	2.13E-05	2.97E-05	4.19E-05	2.80E-05	2.85E-05	2.50E-05
5:Del:M:5	4.02E-05	4.82E-05	2.78E-05	2.94E-05	6.30E-05	4.21E-05	3.27E-05	3.55E-05	3.40E-05	2.91E-05	3.46E-05	3.52E-05	3.10E-05	2.53E-05
