MutationType	ID83A	ID83B	ID83C	ID83D
2:Ins:R:1	1.2437324696260772e-06	0.0008148227700761975	0.005091965202609528	0.009271299801967474
2:Ins:R:2	0.00023437938370501042	0.0005688857518031156	0.0026756856397621674	0.0028739820450223597
2:Ins:R:3	2.5051864947008396e-05	8.134644886338783e-05	0.0009524675925842643	0.001912352686779529
2:Ins:R:4	0.0002441832250148201	0.0007060415373989819	0.001270328792048292	0.002214975820927045
2:Ins:R:5	0.019734947943926454	0.00357327610900178	0.048819968454149806	0.0584714635809462
3:Ins:R:0	0.00022025413926782725	4.401083904023191e-05	0.0032390593480217194	0.003619417655767976
3:Ins:R:1	1.1145089212155007e-05	0.000645668018137002	0.004474905727854379	0.006621685721791314
3:Ins:R:2	1.5523085511919333e-05	0.00014060137607618768	0.0005060043386541305	0.0008627526288206282
3:Ins:R:3	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
3:Ins:R:4	4.176741248718432e-08	4.919586588372792e-05	5.847578708308648e-05	9.961154876061745e-05
3:Ins:R:5	6.9588806571089e-05	0.0002637312929625283	0.0006606901848611623	0.0012056063874564978
4:Ins:R:0	1.662974851315925e-06	0.00017127223527634749	0.0027606166743415006	0.004751171137724838
4:Ins:R:1	1.1876411855490653e-06	5.482341831989517e-05	0.0060403366554346695	0.009332496245275379
4:Ins:R:2	3.0906510142658556e-08	5.44433918614395e-05	0.00028074823944694604	0.00048621043659724837
4:Ins:R:3	6.814625725952317e-08	2.2645428955198576e-07	2.6217812666765787e-08	6.426669139829472e-08
4:Ins:R:4	4.52636450954089e-07	8.772802308894502e-05	0.00024953302199322573	0.000494016601895077
4:Ins:R:5	2.180070154913505e-07	4.528570679070877e-05	0.0006769478461394559	0.0012481462438683187
5:Ins:R:0	4.234705182894261e-06	0.0005933093205435036	0.004244670619270002	0.009261515362942735
5:Ins:R:1	3.399280656905086e-05	0.0007444145578531629	0.00745419780951357	0.015718673756508834
5:Ins:R:2	1.9407776834771767e-08	0.00021399215933199633	4.9959269736761946e-05	7.844060781788126e-05
5:Ins:R:3	3.0982936866017193e-06	1.6422429229281988e-06	9.703712012280297e-05	0.00015154758010214132
5:Ins:R:4	2.6959113844688515e-08	8.275788151786627e-08	0.0001448803323422178	0.0003403595205897758
5:Ins:R:5	5.516430066704177e-08	1.4004425668391876e-07	0.00011857680443977309	0.00014663322161775756
2:Del:M:1	0.0005076162321733746	0.0004962785151381726	0.00876812436032665	0.01846706851685027
3:Del:M:1	0.008330029332380771	0.01843205497284643	0.006738061962091086	0.00751993402026113
3:Del:M:2	0.0010188347291738866	0.004565356901553368	0.002878876681382181	0.003233072873296432
4:Del:M:1	0.000577080308483291	0.0013588949345972727	0.005925930870372206	0.007293101798482577
4:Del:M:2	0.0016945041877792708	0.0016539700625923808	0.0027912714223418105	0.0036246280453834795
4:Del:M:3	3.8902486963559884e-05	0.0003940293378489565	0.0008633315649647754	0.0013939554117348427
5:Del:M:1	2.3448289149175493e-07	0.0020451173099702608	0.016601048959527465	0.027820019218590696
5:Del:M:2	1.814400333662813e-06	2.4070404990250003e-05	0.007544828892762115	0.010405860527412006
5:Del:M:3	6.204855257277971e-05	0.0002238665285091138	0.002477985185673055	0.0033015349025102
5:Del:M:4	8.493872085726837e-07	1.2857895566593207e-05	0.0006306162001974547	0.0009333769449867114
5:Del:M:5	2.0357017740069978e-07	0.00018217311063224029	0.0005006601549379443	0.0007257704914160275
